ID	Description	setSize	enrichmentScore	NES	pvalue	p.adjust	qvalue	rank	leading_edge	core_enrichment
R-HSA-351202	Metabolism of polyamines	45	0.661036308070801	1.74189982074337	0.00158017023637982	0.00835855566416083	0.00554063320632633	382	tags=33%, list=12%, signal=30%	PSMB10/PSMB9/PSMB8/PSMA2/PSMB2/PSMB3/PSMA4/PSMB4/PSMA1/PSMA7/PSMB1/PSMA6/PSMD10/PSMA3/PSMA5
R-HSA-8939236	RUNX1 regulates transcription of genes involved in differentiation of HSCs	42	0.661216412694199	1.71749809321498	0.00159769822504231	0.00839338725073598	0.00556372200933985	382	tags=36%, list=12%, signal=32%	PSMB10/PSMB9/PSMB8/PSMA2/PSMB2/PSMB3/PSMA4/PSMB4/PSMA1/PSMA7/PSMB1/PSMA6/PSMD10/PSMA3/PSMA5
R-HSA-5610783	Degradation of GLI2 by the proteasome	45	0.659929455617157	1.73898314874358	0.0016427492301274	0.00845629972823969	0.0056054247838328	382	tags=33%, list=12%, signal=30%	PSMB10/PSMB9/PSMB8/PSMA2/PSMB2/PSMB3/PSMA4/PSMB4/PSMA1/PSMA7/PSMB1/PSMA6/PSMD10/PSMA3/PSMA5
R-HSA-5610785	GLI3 is processed to GLI3R by the proteasome	45	0.659929455617157	1.73898314874358	0.0016427492301274	0.00845629972823969	0.0056054247838328	382	tags=33%, list=12%, signal=30%	PSMB10/PSMB9/PSMB8/PSMA2/PSMB2/PSMB3/PSMA4/PSMB4/PSMA1/PSMA7/PSMB1/PSMA6/PSMD10/PSMA3/PSMA5
R-HSA-5607761	Dectin-1 mediated noncanonical NF-kB signaling	45	0.659900464253128	1.73890675346667	0.0016427492301274	0.00845629972823969	0.0056054247838328	382	tags=33%, list=12%, signal=30%	PSMB10/PSMB9/PSMB8/PSMA2/PSMB2/PSMB3/PSMA4/PSMB4/PSMA1/PSMA7/PSMB1/PSMA6/PSMD10/PSMA3/PSMA5
R-HSA-8939902	Regulation of RUNX2 expression and activity	45	0.659677412130397	1.73831898779048	0.00167403875456652	0.00851947242909915	0.00564730005250105	382	tags=33%, list=12%, signal=30%	PSMB10/PSMB9/PSMB8/PSMA2/PSMB2/PSMB3/PSMA4/PSMB4/PSMA1/PSMA7/PSMB1/PSMA6/PSMD10/PSMA3/PSMA5
R-HSA-174143	APC/C-mediated degradation of cell cycle proteins	45	0.658113111950982	1.73419689318108	0.00170532829603405	0.00851947242909915	0.00564730005250105	382	tags=36%, list=12%, signal=32%	PSMB10/PSMB9/BUB3/PSMB8/PSMA2/PSMB2/PSMB3/PSMA4/PSMB4/PSMA1/PSMA7/PSMB1/PSMA6/PSMD10/PSMA3/PSMA5
R-HSA-176408	Regulation of APC/C activators between G1/S and early anaphase	45	0.658113111950982	1.73419689318108	0.00170532829603405	0.00851947242909915	0.00564730005250105	382	tags=36%, list=12%, signal=32%	PSMB10/PSMB9/BUB3/PSMB8/PSMA2/PSMB2/PSMB3/PSMA4/PSMB4/PSMA1/PSMA7/PSMB1/PSMA6/PSMD10/PSMA3/PSMA5
R-HSA-453276	Regulation of mitotic cell cycle	45	0.658113111950982	1.73419689318108	0.00170532829603405	0.00851947242909915	0.00564730005250105	382	tags=36%, list=12%, signal=32%	PSMB10/PSMB9/BUB3/PSMB8/PSMA2/PSMB2/PSMB3/PSMA4/PSMB4/PSMA1/PSMA7/PSMB1/PSMA6/PSMD10/PSMA3/PSMA5
R-HSA-156827	L13a-mediated translational silencing of Ceruloplasmin expression	89	0.531131787252372	1.60347473642793	0.00171055900140974	0.00851947242909915	0.00564730005250105	971	tags=45%, list=30%, signal=32%	PABPC1/RPS11/EIF2S3/EIF3G/RPL12/RPL10/RPS8/RPL8/RPS23/RPL18/EIF4B/RPS15A/RPL4/EIF2S2/RPL6/RPL7/RPL38/RPL7A/RPL35A/RPL15/RPS4X/RPL5/RPS6/RPL24/RPL30/RPL14/RPL3/RPS7/RPS5/RPS28/RPL11/EIF4G1/RPS26/RPS18/EIF3D/RPL31/RPS14/RPLP0/EIF3J/RPL18A
R-HSA-2871837	FCERI mediated NF-kB activation	48	0.629954988853324	1.69973543949284	0.00174855337150396	0.00859705407656114	0.00569872657514449	382	tags=33%, list=12%, signal=30%	PSMB10/PSMB9/PSMB8/PSMA2/PSMB2/PSMB3/PSMA4/PSMB4/PSMA1/PSMA7/PSMB1/PSMA6/PSMD10/IKBKG/PSMA3/PSMA5
R-HSA-186797	Signaling by PDGF	24	0.752016439618053	1.69168675822397	0.00173832417791431	0.00859705407656114	0.00569872657514449	242	tags=29%, list=7%, signal=27%	COL4A2/COL4A1/COL3A1/COL5A2/COL5A1/NRAS/THBS2
R-HSA-72613	Eukaryotic Translation Initiation	93	0.506795388146428	1.54209400033924	0.00180846913830187	0.00877908752580716	0.00581939103131113	971	tags=43%, list=30%, signal=31%	PABPC1/RPS11/EIF2S3/EIF3G/RPL12/RPL10/RPS8/RPL8/RPS23/RPL18/EIF4B/RPS15A/RPL4/EIF2S2/RPL6/RPL7/RPL38/RPL7A/RPL35A/RPL15/RPS4X/RPL5/RPS6/RPL24/RPL30/RPL14/RPL3/RPS7/RPS5/RPS28/RPL11/EIF4G1/RPS26/RPS18/EIF3D/RPL31/RPS14/RPLP0/EIF3J/RPL18A
R-HSA-72737	Cap-dependent Translation Initiation	93	0.506795388146428	1.54209400033924	0.00180846913830187	0.00877908752580716	0.00581939103131113	971	tags=43%, list=30%, signal=31%	PABPC1/RPS11/EIF2S3/EIF3G/RPL12/RPL10/RPS8/RPL8/RPS23/RPL18/EIF4B/RPS15A/RPL4/EIF2S2/RPL6/RPL7/RPL38/RPL7A/RPL35A/RPL15/RPS4X/RPL5/RPS6/RPL24/RPL30/RPL14/RPL3/RPS7/RPS5/RPS28/RPL11/EIF4G1/RPS26/RPS18/EIF3D/RPL31/RPS14/RPLP0/EIF3J/RPL18A
